"CO_NCM";"CO_SH6";"NO_NCM_POR";"NO_NCM_ING"
"60063130";"600631";"Outros tecidos de malha, de fibras sintéticas, crus ou branqueados, acrílicos ou modacrílicos";"Other knitted or crocheted fabrics of synthetic fibers, unbleached or bleached, acrylic or modacrylic"
"60063190";"600631";"Outros tecidos de malha, de fibras sintéticas, crus ou branqueados, de outros tipos";"Other knitted or crocheted fabrics, of synthetic fibers, unbleached or bleached, other types"
"60063200";"600632";"Outros tecidos de malha, de fibras sintéticas, tingidos";"Other fabrics of mesh, synthetic fibres, dyed"
"60063210";"600632";"Outros tecidos de malha, de fibras sintéticas, tintos, de náilon ou de outras poliamidas";"Other knitted or crocheted fabrics of synthetic fibers, dyed, nylon or other polyamides"
"60063220";"600632";"Outros tecidos de malha, de fibras sintéticas, tintos, de poliésteres";"Other knitted or crocheted fabrics of synthetic fibers, dyed, of polyester"
"60063230";"600632";"Outros tecidos de malha, de fibras sintéticas, tintos, acrílicos ou modacrílicos";"Other knitted or crocheted fabrics of synthetic fibers, dyed, acrylic or modacrylic"
"52064500";"520645";"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título inferior a 125 decitex (número métrico superior a 80)";"Cotton yarn<85%, twisted, fibr.comb.title<125decitex"
"52071000";"520710";"Fios de algodão (exceto linhas para costurar) acondicionados para venda a retalho, que contenham pelo menos 85 %, em peso, de algodão";"Cotton yarn>=85%, for retail sale"
"52079000";"520790";"Outros fios de algodão (exceto linhas para costurar) acondicionados para venda a retalho";"Other cotton yarns, for retail sale"
"52081100";"520811";"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, crus, em ponto de tafetá, com peso não superior a 100 g/m2";"Fabric of cotton>=85%, raw, point taffeta, w<=100g/m2"
"52081200";"520812";"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, crus, em ponto de tafetá, com peso superior a 100 g/m2";"Fabric of cotton>=85%, raw, point taff.100<w<=200g/m2"
"52081300";"520813";"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso não superior a 200 g/m2, crus, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4";"Fabric of cotton>=85%, raw, point twill, w<=200g/m2"
"52081900";"520819";"Outros tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso não superior a 200 g/m2, crus";"Other fabrics of cotton>=85%, raw, weight<=200g/m2"
"55092200";"550922";"Fio de fibras de poliésteres >= 85%, retorcido/retorcido múltiplo";"Yarn of polyesters fibres>=85%, multiple(folded)/cabled"
"55093100";"550931";"Fio de fibras acrílicas/modacrílicas >= 85%, simples";"Yarn of acrylics/modacrylics fibres>=85%, single"
"55093200";"550932";"Fio de fibras acrílicas/modacrílicas >= 85%, retorcido,  etc";"Yarn of acrylics/modacrylics fibres>=85%, folded, etc"
"55094100";"550941";"Fio de outras fibras sintéticas >= 85%, simples";"Yarn of other synthetic fibres>=85%, single"
"55094200";"550942";"Fio de outras fibras sintéticas >=85%, retorcido/retorcido múltiplo";"Yarn of oth.synthet.fibres>=85%, multip.(folded)/cabled"
"55095100";"550951";"Fio de fibras de poliésteres, combinadas, principal ou unicamente, com fibras artificiais descontínuas";"Yarn of fibres of polyesters with artificial fibres"
"55095200";"550952";"Fio de fibras de poliésteres, combinadas, principal ou unicamente, com lã ou pelos finos";"Yarn of fibres of polyesters with wool/fine animal hair"
"55095300";"550953";"Fio de fibras de poliésteres, combinadas, principal ou unicamente, com algodão";"Yarn of fibres of polyesters with cotton"
"55095900";"550959";"Outros fios de fibras de poliésteres";"Other yarn of fibres of polyesters"
"55096100";"550961";"Fio de fibras acrílicas ou modacrílicas, combinadas, principal ou unicamente, com lã ou pelos finos";"Yarn of acrylics/modacr.fibres with wool/fine anim.hair"
"55096200";"550962";"Fio de fibras acrílicas ou modacrílicas, combinadas, principal ou unicamente, com algodão";"Yarn of acrylics/modacrylics fibres with cotton"
"55096900";"550969";"Outros fios de fibras acrílicas ou modacrílicas";"Other yarn of acrylics/modacrylics fibres"
"55099100";"550991";"Fio de outras fibras sintéticas, combinados, principal ou unicamente, com lã ou pelos finos";"Yarn of other synth.fibres with wool/fine anim.hair"
"55099200";"550992";"Fio de outras fibras sintéticas, combinados, principal ou unicamente, com algodão";"Yarn of other synthetic fibres with cotton"
"55099900";"550999";"Outros fios de fibras sintéticas";"Other yarns of synthetic fibres"
"55101100";"551011";"Fios que contenham pelo menos 85 %, em peso, de fibras artificiais descontínuas, simples";"Yarn of artificial fibres>=85%, single"
"55101111";"551011";"Fios que contenham pelo menos 85 %, em peso, de fibras artificiais descontínuas, simples, obtidos a partir de fibras de celulose, de raiom viscose, exceto modal";"Yarns containing at least 85%, by weight, of artificial staple fibers, simple, obtained from cellulose fibers, of rayon viscose, except modal"
"57023100";"570231";"Tapete, etc, de lã ou de pelos finos, aveludado, não confeccionado";"Carpet, etc.of wool/fine animal hair, velvet, n/made-up"
"57023200";"570232";"Tapete, etc, de matérias têxteis sintéticas ou artificiais, aveludado, não confeccionado";"Carpet, etc.of textile mater.synt/artif.velvet, n/made-up"
"57023900";"570239";"Tapete, etc, de outras matérias têxteis, aveludado, não confeccionado";"Carpet, etc.of other textile materials, velvet, n/made-up"
"57024100";"570241";"Tapete, etc, de lã ou pelos finos, aveludado, confeccionado";"Carpet, etc.of fine animal hair, velvet, made-up"
"57024200";"570242";"Tapete, etc, de matérias têxteis sintéticas ou artificiais, aveludado, confeccionado";"Carpet, etc.of textile mater.syn/artif.velvet, made-up"
"57024900";"570249";"Tapete, etc, de outras matérias têxteis, aveludado, confeccionado";"Carpet, etc.of oth.textile mater., velvet, made-up"
"57025010";"570250";"Tapetes revestidos para pavimento, não aveludado, não confeccionado, de lã ou de pelos finos";"Carpets floor covering, n/velvet, n/made-up,of wool/fine animal hair"
"57025020";"570250";"Tapetes revestidos para pavimento, não aveludado, não confeccionado, de matérias têxteis sintéticas ou artificiais";"Carpets floor covering, n/velvet, n/made-up,of synthetic material"
"57025090";"570250";"Tapetes revestidos para pavimento, não aveludado, não confeccionado, outras matérias";"Carpets floor covering, n/velvet, n/made-up,of other materials"
"57025100";"570251";"Tapete, etc, de lã ou pelos finos, não aveludado, não confeccionado";"Carpet, etc.of fine animal hair, n/velvet, n/made-up"
"57025200";"570252";"Tapete, etc, de outras matérias têxteis, não aveludado, não confeccionado";"Carpet, etc.of textile mat.syn/artif.n/velvet, n/made-up"
"57025900";"570259";"Tapete, etc, de outras matérias têxteis, não aveludado, não confeccionado";"Carpet, etc.of oth.textile materials, n/velvet, n/made-up"
"57029100";"570291";"Tapete, etc, de lã ou de pelos finos, não aveludado, confeccionado";"Carpet, etc.of wool/fine anim.hair, n/velvet, made-up"
"57029200";"570292";"Tapete, etc, de matérias têxteis sintéticas ou artificiais, não aveludado, confeccionado";"Carpet, etc.of textile mater.syn/art.n/velvet, made-up"
"57029900";"570299";"Tapete, etc, de outras matérias têxteis, não aveludado, confeccionado";"Carpet, etc.of oth.textile materials, n/velvet, made-up"
"57031000";"570310";"Tapete/revestimento para pavimento, de lã ou de pelos finos, tufado";"Carpet/cover.f/pavem.of wool/fine animal hair, tufted"
"48234000";"482340";"Papéis-diagrama para aparelhos registradores, em bobinas, em folhas ou em discos";"Diagram paper forrecording apparels, in rolls/sheets, etc"
"48235100";"482351";"Papel/cartão para escrita, etc, impressos/estampados/perfurados";"Paper/paperboard forwriting etc.printed/perforated"
"48235900";"482359";"Outros papéis/cartões para escrita/impressão/fins gráficos";"Oth.paper/paperb.forwriting etc.printed/graphic uses"
"72181000";"721810";"Aços inoxidáveis, em lingotes e outras formas primárias";"Stainless steel in ingots or other primary forms"
"72189100";"721891";"Produtos semimanufaturados, de aços inoxidáveis, seção transversal retangular";"Semi-manufactured prod.stainless steel cross-section"
"72189900";"721899";"Outros produtos semimanufaturados, de aços inoxidáveis";"Oth.semi-manufactured prod., of stainless steel"
"72191100";"721911";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, em rolos, de espessura superior a 10 mm";"Hot-rolled stainless steel, w>=600mm, rolls, t>10mm"
"72191200";"721912";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, em rolos, de espessura igual ou superior a 4,75 mm, mas não superior a 10 mm";"Hot-rolled stainl.steel, w>=600mm, rolls, 4.75mm<=t<=10mm"
"72191300";"721913";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, em rolos, de espessura igual ou superior a 3 mm, mas inferior a 4,75 mm";"Hot-rolled stainl.steel, w>=600mm, rolls, 3mm<=t<4.75mm"
"72191400";"721914";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, em rolos, de espessura inferior a 3 mm";"Hot-rolled stainless steel, w>=600mm, rolls, t<3mm"
"72192100";"721921";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, não enrolados, de espessura superior a 10 mm";"Hot-rolled stainless steel, w>=600mm, n/coils, t>10mm"
"35069110";"350691";"Adesivos à base de borracha";"Adhesives based on rubber"
"35069120";"350691";"Adesivos à base de polímeros das posições 39.01 a 39.13, dispersos ou para dispersar em meio aquoso";"Adhesives based dispersed plastics, fordispersing, etc"
"35069190";"350691";"Outros adesivos à base de plásticos";"Other adhesives based on plastics"
"65069100";"650691";"Outros chapéus e artefatos de uso semelhante, mesmo guarnecidos, de borracha ou de plástico";"Other headgear of rubber or plastic"
"65069200";"650692";"Chapéus e outros artefatos de peleteria natural";"Other headgear of furskin"
"65069900";"650699";"Outros chapéus e artefatos de uso semelhante, mesmo guarnecidos, de outras matérias";"Other headgear of other materials, exc.mesh"
"65070000";"650700";"Carneiras, forros, capas, armações, palas e barbicachos, para chapéus e artefatos de uso semelhante";"Strips f/interior garrison, linings, etc.f/headgear"
"66011000";"660110";"Guarda-sóis de jardim e artefatos semelhantes";"Garden or similar umbrellas"
"66019110";"660191";"Guarda-chuvas de haste ou cabo telescópico, cobertos de tecido de seda ou de matérias têxteis sintéticas ou artificiais";"Umbrellas of stem/telescop.shaft with silk fabric"
"66019190";"660191";"Outros guarda-chuvas, sombrinhas, de haste ou cabo telescópico";"Other umbrellas of stem/telescopic shaft"
"66019900";"660199";"Outros guarda-chuvas, sombrinhas e guarda-sóis";"Other umbrellas and sun umbrellas"
"66020000";"660200";"Bengalas, bengalas-assentos, chicotes, pingalins e artefatos semelhantes";"Walking-sticks, seat-sticks, whips and the like"
"66031000";"660310";"Punhos, cabos e castões para guarda-chuvas, sombrinhas,  etc.";"Handles and knobs f/umbrellas, etc."
"66032000";"660320";"Armações montadas, mesmo com hastes ou cabos, para guarda-chuvas, sombrinhas ou guarda-sóis";"Umbrella frames"
"66039000";"660390";"Outras partes, guarnições e acessórios para guarda-chuvas, etc.";"Other parts, trimmings and accessor.f/umbrella, etc"
"67010000";"670100";"Peles e outras partes de aves, com as suas penas ou penugem, penas, partes de penas, penugem e artefatos destas matérias, exceto os produtos da posição 05.05, bem como os cálamos e outros canos de penas, trabalhados";"Skins/oth.parts of birds with their feathers, etc.worked"
"67021000";"670210";"Flores, folhagem e frutos, artificiais, e suas partes, artefatos confeccionados com flores, folhagem e frutos, artificiais, de plástico";"Artific.flowers, foliage, fruit and parts thereof, plastic"
"67029000";"670290";"Flores, folhagem e frutos, artificiais, e suas partes, artefatos confeccionados com flores, folhagem e frutos, artificiais, de outras matérias";"Artific.flowers, foliag.fruit and parts thereof, oth.mat."
"67030000";"670300";"Cabelos dispostos no mesmo sentido, adelgaçados, branqueados ou preparados de outro modo, lã, pelos e outras matérias têxteis, preparados para a fabricação de perucas ou de artefatos semelhantes";"Human hair, wool and oth.textile mat.prep.f/wigs produc."
"70195210";"701952";"Tecidos de fibras de vidro, com um teor de matéria orgânica superior ou igual a 0,075 % e inferior ou igual a 0,3 %, em peso, segundo Norma ANSI/IPC-EG-140, próprios para fabricação de placas para circuitos impressos";"Fabric of glass fibres, f/produc.plates of electric circ"
"70195290";"701952";"Outros tecidos de fibras de vidro, de largura superior a 30 cm, em ponto de tafetá, com peso inferior a 250 g/m2, de filamentos de título não superior a 136 tex, por fio simples";"Oth.fabric glass fibres, w>30cm, plain weave, w<250g/m2"
"70195900";"701959";"Outros tecidos de fibras de vidro";"Other woven fabric of glass fibres"
"70199000";"701990";"Outras fibras de vidro e suas obras";"Other glass fibres and articles thereof"
"70199010";"701990";"Outras fibras com fios paralelos e superpostos ângulo 90º 3>= d <= 7 fios cm2";"Out.fib.c/fios paral.e superp.ang90º 3>=d<=7 fios cm2"
"70199090";"701990";"Outras fibras de vidro e suas obras";"Outras fibras de vidro e suas obras"
"70200000";"702000";"Outras obras de vidro";"Other articles of glass"
"70200010";"702000";"Ampolas de vidro para garrafa térmica, outros recipientes isotérmicos";"Glass inners for vacuum flask, other vaccum vessels"
"70200090";"702000";"Outras obras de vidro não especificadas";"Other articles of glass not stated"
"71011000";"710110";"Pérolas naturais, não montadas, nem engastadas";"Natural pearls, not mounted or set"
"71012100";"710121";"Pérolas cultivadas, em bruto, não montadas, nem engastadas";"Pearls, cultured, unworked, n/mounted or set"
"71012200";"710122";"Pérolas cultivadas, trabalhadas, não montadas, não engastadas";"Pearls, cultured, unworked, n/mounted or set"
"71021000";"710210";"Diamantes, mesmo trabalhados, mas não montados nem engastados, não selecionados";"Diamonds, unsorted, unworked, n/mounted or set"
"71022100";"710221";"Diamantes industriais, em bruto ou simplesmente serrados, clivados ou desbastados";"Industrial diamonds, simply sawn or bruted, cleaved, etc."
"71022900";"710229";"Outros diamantes industriais, não montados, nem engastados";"Industrial diamonds, n/mounted or set"
"30043914";"300439";"Medicamento contendo corticotropina (ACTH), em doses";"Medicament containing acth (corticotrophin), in doses"
"30043915";"300439";"Medicamento contendo gonadotropina sérica (PMSG), em doses";"Medicament c/pmsg (serum gonadotrophin), in doses"
"30043917";"300439";"Medicamento contendo buserelina ou seu acetato, em doses";"Medicament containing buserelin or its acetate, in doses"
"30043918";"300439";"Medicamento contendo triptorelina ou seus sais, em doses";"Medicament containing triptorelin or its salts, in doses"
"30043919";"300439";"Medicamento contendo leuprolida ou seu acetato, em doses";"Medicament containing leuprolide, in doses"
"30043921";"300439";"Medicamento contendo LH-RH (gonadorelina), em doses";"Medicament containing lh-rh (gonadorelin), in doses"
"30043922";"300439";"Medicamento contendo oxitocina, em doses";"Medicament containing oxytocin, in doses"
"30043923";"300439";"Medicamento contendo sais de insulina, em doses";"Medicament containing insulin salts, in doses"
"30043924";"300439";"Medicamento contendo timosinas, em doses";"Medicament containing timosins, in doses"
"30043925";"300439";"Medicamento contendo calcitonina, em doses";"Medicament containing calcitonin, in doses"
"30043926";"300439";"Medicamento contendo octreotida, em doses";"Medicament containing octreotide, in doses"
"30043927";"300439";"Medicamento contendo goserelina ou seu acetato, em doses";"Medicament containing goserelin or its acetate, in doses"
"30043916";"300439";"Medicamento contendo somatostatina ou seus sais, em doses";"Medicament c/somatostatin or its salts, in doses"
"30043928";"300439";"Medicamento contendo nafarelina ou seu acetato, em doses";"Medicament containing nafarelin or its acetate, in doses"
"30043929";"300439";"Medicamentos com outros hormônios polipeptídicos, etc, em doses";"Medicament cont.oth.polypeptides hormones, etc.in doses"
"30043931";"300439";"Medicamento contendo hemissuccinato de estradiol, em doses";"Medicament contain.oestradiol hemisuccinate, in doses"
"32099011";"320990";"Tintas de politetrafluoretileno, dispersas/dissolvidas em meio aquoso";"Paint of polytetrafluoroethylene, disper./dissol.aqueous"
"32099019";"320990";"Tintas de outros polímeros sintéticos, etc, dispersos/dissolvidos em meio aquoso";"Paint of oth.synt.polymers, etc, dispersed/dissol.aqueous"
"32099020";"320990";"Vernizes de outros polímeros sintéticos, etc, dispersos/dissolvidos em meio não aquoso";"Varnishes of oth.synt.polymers, etc, disp./dissol.aqueous"
"32100010";"321000";"Outras tintas, dos tipos utilizados para acabamento de couros";"Other paints"
"35040090";"350400";"Outras matérias proteicas, seus derivados e pó de peles";"Oth.protein substances, their derivativ.and hide powder"
"32089039";"320890";"Outras soluções de polímeros sintéticos, etc, dispersos/dissolvidos em meio não aquoso";"Oth.polym.synt.solutions, etc, dispers./dissolv.n/aqueous"
"32091010";"320910";"Tintas de polímeros acrílicos/vinílicos, dispersos/dissolvidos em meio aquoso";"Paint acrylic/vinyl polymers, dispersed/dissol.n/aqueous"
"32091020";"320910";"Vernizes de polímeros acrílicos/vinílicos, dispersos/dissolvidos em meio aquoso";"Varnishes of acrylic/vinyl.polim.disper./dissol.aqueous"
"38081021";"380810";"Inseticida à base de acefato/""Bacillus thuringiensis""";"Insecticide based on acephate/""bacillus thuringiensis"""
"38081022";"380810";"Inseticida à base de cipermetrinas ou de permetrina";"Insecticide based on cypermethrins or permethrin"
"38081023";"380810";"Inseticida à base de monocrotofos ou de dicrotofos";"Insecticide based on monocrotofos or dicrotofos"
"38081024";"380810";"Inseticida à base de dissulfoton ou de endossulfan";"Insecticide based on disulfoton or endosulfan"
"38081025";"380810";"Inseticida à base de fosfeto de alumínio";"Insecticide based on aluminium phosphide"
"38081026";"380810";"Inseticida à base de triclorfon ou de diclorvos";"Insecticide based on trichlorfon or dichlorvos"
"38081027";"380810";"Inseticida à base de oleo mineral";"Insecticide based on mineral oils"
"38081028";"380810";"Inseticida à base de sulfluramida";"Insecticie based on sulfluramid"
"38081029";"380810";"Outros inseticidas apresentados de outro modo";"Other inseticides presented in another way"
"38082010";"380820";"Fungicidas para uso domissanitário direto";"Fungicides for direct household use"
"87083090";"870830";"Outros freios e partes, para tratores/veículos automóveis";"Other brakes and its parts,f/tractors/vehicles/automob."
"87083110";"870831";"Guarnições de freios montadas para ""dumpers"" e tratores";"Brakes and servo-brakes for dumpers and tractors"
"87083190";"870831";"Guarnições de freios montadas para outros veiculos automóveis";"Brakes and servo-brakes f/other motor vehicles"
"87083900";"870839";"Outros freios e suas partes, para tratores/veículos automóveis";"Other brakes and its parts,f/tractors/motor vehicles"
"87084010";"870840";"Caixas de marchas para ""dumpers""/tratores, exceto rodoviários";"Gear boxes f/dumpers/tractors except road"
"87084011";"870840";"Servo-assistidas, próprias para torques de entrada superiores ou iguais a 750 Nm, de tratores/""dumpers""";"Power-assisted f/torques>=750nm of tractors/dumpers"
"87084019";"870840";"Outras caixas de marchas para tratores ou ""dumpers""";"Other gear boxes for tractors or dumpers"
"87084080";"870840";"Outras caixas de marchas";"Other gearboxes"
"87084090";"870840";"Partes de caixas de marchas";"Parts of gearboxes"
"87085010";"870850";"Eixos de transmissão com diferencial para ""dumpers""/tratores";"Drive-axles with differential f/dumpers/tractors"
"87085011";"870850";"Eixos com diferencial com capacidade de suportar cargas superiores ou iguais a 14.000 kg, redutores planetários nos extremos e dispositivo de freio incorporado, do tipo dos utilizados em veículos da subposição 8704.10";"Drive-axles with differential f/dumpers,load>=14t"
"87085012";"870850";"Eixos e partes, exceto de transmissão, para tratores/""dumpers""";"Axles and parts except. drive/trac./dumpers"
"87085019";"870850";"Eixos de transmissão com diferencial para ""dumpers""/tratores";"Drive-axles with differential f/dumpers/tractors"
"87085080";"870850";"Eixos de transmissão com diferencial para veículos automóveis";"Drive-axles with differential f/motor vehicles"
"90183922";"901839";"Cateteres de poli(cloreto de vinila), para embolectomia arterial";"Arterial embolectomy catheters of poly(vinyl chloride)"
"90183923";"901839";"Cateteres de poli(cloreto de vinila), para termodiluição";"Thermodilution catheters of poly(vinyl chloride)"
"90183924";"901839";"Cateteres intravenosos periféricos, de poliuretano ou de copolímero de etileno-tetrafluoretileno (ETFE)";"Peripheral intravenous catheters  of poliuretano"
"90183929";"901839";"Outras sondas, catéteres e cânulas";"Other probes, catheters and stems"
"29398090";"293980";"Outros alcalóides, naturais ou reproduzidos por síntese, seus sais, éteres, ésteres e outros derivados";"Other alkaloids, natural or produced by synthesis, and their salts, esters and other derivatives"
"48119019";"481190";"Outros papéis, cartões, pasta (ouate) de celulose e mantas de fibras de celulose, em tiras ou rolos de largura não superior a 15 cm ou em folhas em que nenhum lado exceda 360 mm, quando não dobradas";"Oth.paper of cellulose covered.etc.strips/rolls w<=15cm"
"39172210";"391722";"Tubo rígido, de polímeros de propileno de seção transversal interna redonda de diâmetro inferior a 6 mm e externa hexagonal";"Rigid tube, made of propylene polymers, with a round internal cross-section of less than 6 mm in diameter and a hexagonal external cross-section"
"85441911";"854419";"Fios de alumínio revestido de cobre (CCA -Copper Clad Aluminum) para bobinar, isolados para usos elétricos (incluindo os envernizados ou oxidados anodicamente)";"Copper-clad aluminum wires (CCA) for winding, insulated for electrical uses (including those varnished or anodically oxidized)"
"38249961";"382499";"Contrastes para exames de diagnóstico por imagens de ressonância magnética ou de ecografia, à base de gadobenato de dimeglumina, de gadobutrol, de gadopentetato de dimeglumina, de gadoterato de meglumina, de gadoteridol ou de gadoxetato dissódico.";"Contrasts for diagnostic examinations using magnetic resonance imaging or ultrasound, based on gadobenate dimeglumine, gadobutrol, gadopentetate dimeglumine, gadoterate meglumine, gadoteridol or gadoxetate disodium."
"32071020";"320710";"Suspensão de pigmentos em solventes orgânicos, do tipo utilizado em impressoras de jato de tinta para decoração de superfícies cerâmicas por cozimento";"Suspension of pigments in organic solvents, of the type used in inkjet printers for decorating ceramic surfaces by firing"
"39069059";"390690";"Outros polímeros acrílicos, em blocos irregulares, pedaços, pós, etc";"Other acrylic polymers, in irreg.blocks, pieces, etc"
"73151110";"731511";"Correntes de rolos do tipo utilizado em bicicletas, com passo de 12,7 mm (1/2"") e largura interna igual ou superior a 1,98 mm (5/64""), mas inferior ou igual a 3,17 mm (1/8"")";"Roller chains of the type used on bicycles, with a 12.7 mm (1/2"") pitch and an internal width of 1.98 mm (5/64"") or more but less than or equal to 3.17 mm (1/8"")"
"73151190";"731511";"Outras correntes de rolos";"Other roller chains"
"32071030";"320710";"Outros pigmentos, opacificantes/cores, preparados e preparações à base de zircônio ou seus sais";"Other pigments, opacifiers/colours, preparations and preparations based on zirconium or its salts"
"39069051";"390690";"Poli(ácido acrílico) e seus sais, em blocos irregulares, pedaços, pós, etc";"Poly(acrylic acid) and salts, in blocks, irreg.pieces, etc"
"39069053";"390690";"Carboxipolimetileno, em pó";"Carboxypolymethylene, in powder"
"39069054";"390690";"Poli(acrilato de sódio), com capacidade de absorção de uma solução aquosa de cloreto de sódio 0,9 %, em peso, superior ou igual a vinte vezes seu próprio peso, em blocos irregulares, pedaços, pós, etc";"Sodium polyacrylate, in irreg.blocks, pieces, etc"
"39069069";"390690";"Outros copolímeros";"Other copolymers"
"3052010";"30520";"Ovas de tainhas (Mugil spp.) de peixes, secos, defumados, etc.";"Roe of mullet (Mugil spp.) fish, dried, smoked, etc."
"88069100";"880691";"Outros veículos aéreos (aeronaves) não tripulados, de peso máximo de decolagem não superior a 250 g";"Other unmanned aerial vehicles (aircraft), of a maximum take-off weight not exceeding 250 g"
"44188200";"441882";"Madeira laminada (lamelada) cruzada (CLT ou X-lam)";"Cross-laminated timber (CLT or X-lam)"
"39069064";"390690";"Copolímero de acrilato de potássio e ácido acrílico, com capacidade de absorção de água destilada de até quatrocentas vezes seu próprio peso";"Copolymer of potassium acrylate and acrylic acid, with a distilled water absorption capacity of up to four hundred times its own weight"
"38273900";"382739";"Outras misturas que contenham hidroclorofluorcarbonetos (HCFC), mesmo que contenham perfluorcarbonetos (PFC) ou hidrofluorcarbonetos (HFC), mas que não contenham clorofluorcarbonetos (CFC), não classificadas em códigos anteriores";"Other mixtures containing hydrochlorofluorocarbons (HCFC), even if they contain perfluorocarbons (PFC) or hydrofluorocarbons (HFC), but not containing chlorofluorocarbons (CFC), not classified under previous codes"
"76129020";"761290";"Recipientes (cápsulas) para embalagem de café e produtos semelhantes, do tipo utilizado em máquinas para preparação de bebidas";"Containers (capsules) for packaging coffee and similar products, of the type used in beverage preparation machines"
"39072992";"390729";"Éter metalílico de poli(oxietileno) (HPEG)";"Poly(oxyethylene) methallyl ether (HPEG)"
"74061020";"740610";"Pós de cobre, de estrutura não lamelar, com um teor, em peso, de estanho igual ou superior a 7,0 %, mas inferior ou igual a 9,0 % e de níquel igual ou superior a 0,7 %, mas inferior ou igual a 1,3 %, sem outros elementos";"Copper powders, of non-lamellar structure, with a tin content, by weight, of not less than 7.0% but not more than 9.0% and a nickel content of not less than 0.7% but not more than 1.3%, without other elements"
