SG_UF;NO_UF;NO_REGIAO
RO;Rondônia;REGIAO NORTE
AC;Acre;REGIAO NORTE
AM;Amazonas;REGIAO NORTE
RR;Roraima;REGIAO NORTE
PA;Pará;REGIAO NORTE
AP;Amapá;REGIAO NORTE
TO;Tocantins;REGIAO NORTE
MA;Maranhão;REGIAO NORDESTE
PI;Piauí;REGIAO NORDESTE
CE;Ceará;REGIAO NORDESTE
RN;Rio Grande do Norte;REGIAO NORDESTE
PB;Paraíba;REGIAO NORDESTE
PE;Pernambuco;REGIAO NORDESTE
AL;Alagoas;REGIAO NORDESTE
SE;Sergipe;REGIAO NORDESTE
BA;Bahia;REGIAO NORDESTE
MG;Minas Gerais;REGIAO SUDESTE
ES;Espírito Santo;REGIAO SUDESTE
RJ;Rio de Janeiro;REGIAO SUDESTE
SP;São Paulo;REGIAO SUDESTE
PR;Paraná;REGIAO SUL
SC;Santa Catarina;REGIAO SUL
RS;Rio Grande do Sul;REGIAO SUL
MT;Mato Grosso;REGIAO CENTRO OESTE
GO;Goiás;REGIAO CENTRO OESTE
DF;Distrito Federal;REGIAO CENTRO OESTE
MS;Mato Grosso do Sul;REGIAO CENTRO OESTE
EX;Exterior;REGIAO NAO DECLARADA
CB;Consumo de Bordo;CONSUMO DE BORDO
MN;Mercadoria Nacionalizada;MERCADORIA NACIONALIZADA
RE;Reexportação;REEXPORTACAO
ED;Estados Diversos - Café;REGIAO NAO DECLARADA
ND;Não Declarada;REGIAO NAO DECLARADA
ZN;Zona Não Declarada;REGIAO NAO DECLARADA
